" The customer doesn't exist in the system anymore"," Der Kunde existiert nicht mehr im System"
" and "," und "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absoluter oder relativer Pfad zur Magento Installation, z.B. var/export)"
"(For US 2-letter state names)","(Für USA-Staatsnamen aus 2 Buchstaben)"
"(If left empty will be auto-generated)","(Wird automatisch generiert, wenn leer gelassen)"
"(Leave empty for first spreadsheet)","(Leer lassen für erstes Arbeitsblatt)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkte werden zu diesem Shop hinzugefügt/aktualisiert wenn die 'Shop' Spalte in dieser Importdatei leer ist oder fehlt.)"
"(Shift-)Click or drag to change value","(Shift-)Klicken oder ziehen zum Wert verändern"
"(Starting with)","(Beginnend mit)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Bei 'Nein' werden nur zugeordnete Felder importiert. Bei Zuordnung 'column1', 'column2', usw. benutzen.)"
"(You have to increase php memory_limit before changing this value)","(Sie müssen vor dem Ändern dieses Werts die php memory_limit erhöhen)"
"(\t for tab)","(\t for tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - Falls bereits eine Indexierung läuft, wird diese gekillt und eine neue Indexierung wird gestartet"
"- Click on any of the time parts to increase it","- Auf irgend einen Teil der Zeit klicken um diesen zu erhöhen"
"- Hold mouse button on any of the above buttons for faster selection.","- Für eine schneller Auswahl, halten Sie den Mausbutton auf irgend einem der oben angezeigten Knöpfe gedrückt."
"- Use the %s buttons to select month","- Benutzen Sie die %s Knöpfe um den Monat auszuwählen"
"- Use the %s, %s buttons to select year","- Benutzen Sie die %s, %s Knöpfe um das Jahr auszuwählen"
"- or Shift-click to decrease it","- oder Shift-Klicken um ihn zu verringern"
"- or click and drag for faster selection.","- oder klicken und ziehen Sie für schnellere Auswahl."
"-- Please Select --","-- Bitte auswählen --"
"-- Please select --","-- Bitte auswählen --"
"-- Please select a category --","-- Bitte Kategorie auswählen --"
"--Please Select--","--Bitte auswählen--"
"1 Hour","1 Stunde"
"12 Hours","12 Stunden"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Stunden"
"24 Hours","24 Stunden"
"24h","24h"
"2YTD","2YTD"
"6 Hours","6 Stunden"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Fehler</h1><p>Seite nicht gefunden.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Zugriff verweigert</h1><p>Zugriff verweigert.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Ein neues Kennwort wurde an Ihre E-Mail-Adresse gesendet. Bitte überprüfen Sie Ihre E-Mails und klicken Sie zurück um sich einzuloggen."
"API Stability","API-Stabilität"
"API Version","API-Version"
"API:","API:"
"About the calendar","Über den Kalender"
"Access Denied.","Zugriff verweigert."
"Access Deny","Zugriffsverweigerung"
"Account Created in:","Kundenkonto angelegt in:"
"Account Created on (%s):","Konto erstellt am (%s):"
