" and "," und "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absoluter Pfad oder relativ zum Magento Basis-Installationspfad, Bsp. var/export)"
"(For US 2-letter state names)","(Für US-Bundesstaaten 2-Buchstaben-Code)"
"(If left empty will be auto-generated)","(Falls leer gelassen, automatisch generiert)"
"(Leave empty for first spreadsheet)","(Für erstes Arbeitsblatt leer lassen)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkte werden in diesem Shop hinzugefügt/aktualisiert, wenn die 'Shop'-Spalte leer ist oder in der Import-Datei fehlt.)"
"(Shift-)Click or drag to change value","(Shift-)Klick um den Wert zu verändern"
"(Starting with)","(Beginnend mit)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Falls 'Nein', werden nur gemappte Felder importiert. Für das Mappen 'column1', 'column2', etc. benutzen)"
"(You have to increase php memory_limit before changing this value)","(Sie müssen die php memory_limit erhöhen, bevor der Wert geändert werden kann)"
"(\t for tab)","(\t for tab)"
"- Click on any of the time parts to increase it","- Klick auf einen Zeitteil, um ihn zu erhöhen"
"- Hold mouse button on any of the above buttons for faster selection.","- Für eine schneller Auswahl, halten Sie den Mausbutton über einem der oben angezeigten Knöpfe gedrückt."
"- Use the %s buttons to select month","- Benutzen Sie die %s Knöpfe um den Monat auszuwählen"
"- Use the %s, %s buttons to select year","- Benutzen Sie die %s, %s Knöpfe um das Jahr auszuwählen"
"- or Shift-click to decrease it","- oder Shift-Klicken um ihn zu erhöhen"
"- or click and drag for faster selection.","- oder klicken und ziehen für schnellere Auswahl."
"API:","API:"
"About the calendar","Über den Kalender"
"Access Denied.","Zugriff verweigert."
"Account Created in:","Account Created in:"
"Account Created on (%s):","Kundenkonto erstellt in: (%s):"
"Account Created on:","Kundenkonto angelegt am:"
"Action","Aktion"
"Actions","Aktionen"
"Add","Hinzufügen"
"Add Contents Path","Inhaltspfad hinzufügen"
"Add Field with URL:","URL-Feld hinzufügen:"
"Add Maintainer","Verantw. Autor hinzufügen"
"Add New Role","Neue Rolle hinzufügen"
"Add New Template","Neue Vorlage"
"Add New User","Neuer Benutzer"
"Add PHP Extension dependency","PHP-Erweiterungs-Abhängigkeit hinzufügen"
"Add Package dependency","Paket-Abhängigkeit hinzufügen"
"Add Subpackage dependency","Subpaket-Abhängigkeit hinzufügen"
"Add new store view map","Neue Shop-Ansichts-Map hinzufügen"
"Add new website map","Neue Website-Map hinzufügen"
"Address Type:","Adresstyp:"
"All","Alle"
"All Websites","Alle Websites"
"All fields","Alle Felder"
"Archive file name:","Archiv Dateiname:"
"Are you sure that you want to delete this template?","Diese Vorlage wirklich löschen?"
"Are you sure that you want to strip tags?","Schlagwörter wirklich strippen?"
"Attribute Set Name:","Attributset-Name:"
"Attributes","Attribute"
"Available Products","Verfügbare Produkte"
"Big Image","Grosses Bild"
"Billing Address","Rechnungsadresse"
"Bundle Items","Gebündelte Artikel"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bündel mit dynmischem Preis dürfen keine persönlichen Optionen beinhalten. Die Optionen werden nicht gespeichert."
"CSV / Tab separated","CSV / Tabulator-getrennt"
"Card Verification Number","Kartenprüfnummer (CVC)"
"Catalog","Katalog"
"Channel","Kanal"
"Channel:","Kanal:"
"Choose Store View","Shop-Ansicht wählen"
"Client Session timeout (sec.)","Session-Timeout (sec.)"
"Close","Schliessen"
"Comments History","Kommentarprotokoll"
"Confirmed email:","Bestätigte E-Mail:"
"Connect with the Magento Community","Klinken Sie sich ein in die Magento Community"
"Contents","Inhalt"
"Country:","Land:"
"Create New Staging Store View","Neue Staging Shop-Ansicht erstellen"
"Create a backup","Backup erstellen"
"Created <strong>%s</strong> items","<strong>%s</strong> Artikel erstellt"
"Credit Card Number","Kreditkartennummer"
"Credit Card Number: xxxx-%s","Kreditkartennr.: xxxx-%s"
"Credit Card Type","Kreditkartentyp"
"Credit Card Type: %s","Kreditkartentyp: %s"
"Credit Memo History","Kreditnotiz-Protokoll"
"Credit Memo Totals","Kreditnotiz Total"
"Current Configuration Scope:","Aktueller Konfig.-Bereich:"
"Current Release Information","Informationen zur aktuellen Version"
"Custom","Eigene"
"Customer Group:","Kundengruppe:"
"Customer Since:","Kunde seit:"
"Customers","Kunden"
"DHTML Date/Time Selector","DHTML Datm-/Zeitwähler"
"Dashboard","Dashboard"
"Data Format","Datenformat"
"Data transfer:","Datenübertragung:"
"Date selection:","Datumsauswahl:"
"Date selector","Datum-Selektor"
"Date:","Datum:"
"Decimal separator:","Dezimalzeichen:"
"Default (Admin) Values","Standard-(Admin-)Werte"
"Default Values","Standardwerte"
"Delete","Löschen"
"Dependencies","Abhängigkeiten"
"Description:","Beschreibung:"
