"# of Use","Anzahl Verwendungen"
"%1$s incl tax.","%1$s inkl. MwSt."
"%s - %s","%s - %s"
"%s Item(s)","%s Artikel"
"(Copy data from: %s)","(Kopiere Daten von: %s)"
"(Will make search for the query above return results for this search.)","(Anfrage für diese Suche ausführen und entsprechende Ergebnisse ausgeben)"
"* Required Fields","* Pflichtfelder"
"-- Please Select --","-- Bitte auswählen --"
"A name is required","Ein Name wird benötigt"
"ALL GROUPS","ALLE GRUPPEN"
"AM","AM"
"Action","Aktion"
"Add Attribute","Attribut hinzufügen"
"Add Design Change","Gestaltungsänderung hinzufügen"
"Add Group","Gruppe hinzufügen"
"Add Items to Cart","In den Warenkorb"
"Add New","Neu"
"Add New Attribute","Neues Attribut"
"Add New Attribute Set","Neues Attributset"
"Add New Group","Neue Gruppe"
"Add New Images","Neue Bilder"
"Add New Option","Neue Option"
"Add New Row","Neue Zeile"
"Add New Search Term","Neue Suchanfragen"
"Add New Set","Neues Set"
"Add Option","Option hinzufügen"
"Add Product","Produkt hinzufügen"
"Add Product To Websites","Produkt den Websites hinzufügen"
"Add Root Category","Neue Root-Kategorie"
"Add Subcategory","Neue Unterkategorie"
"Add Tax","Steuer hinzufügen"
"Add Tier","Preisstaffel hinzufügen"
"Add to Cart","In den Warenkorb"
"Add to Compare","Auf die Vergleichsliste"
"Add to My Wishlist","Auf meinen Wunschzettel"
"Add to Wishlist","Auf den Wunschzettel"
"Additional Information","Zusatzinformation"
"All","Alle"
"All Product Types","Alle Produkttypen"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle Produkte dieses Sets werden gelöscht! Sind Sie sicher, dass Sie dieses Attributset löschen wollen?"
"Allow HTML-tags on Front-end","HTML-Tags im Frontend erlauben"
"Allowed File Extensions","Erlaubte Dateierweiterungen"
"Allowed file extensions to upload","Erlaubte Dateierweiterungen für Upload"
"Amount","Betrag"
"Apply To","Anwenden auf"
"Apply To Configurable/Grouped Product","Anwenden auf kombinierte und konfigurierbare Produkte"
"Approved","Bestätigt"
"Are you sure you want to delete this category?","Sind Sie sicher, dass Sie diese Kategorie wirklich löschen wollen?"
"Are you sure you would like to remove all products from your comparison?","Sind Sie sicher, dass Sie alle Produkte aus Deinem Vergleich entfernen wollen?"
"Are you sure you would like to remove this item from the compare products?","Sind Sie sicher, dass Sie diesen Artikel aus dem Produktvergleich entfernen wollen?"
"Are you sure?","Sind Sie sicher?"
"As low as:","nur:"
"Assign","Zuweisen"
"Assign product link","Produktlink zuweisen"
"Assign product to category","Produkt der Kategorie zuweisen"
"Assigned Products","Zugewiesene Produkte"
"Associated Products","Verknüpfte Produkte"
