"%s and greater","%s und grösser"
"Advanced Search","Erweiterte Suche"
"All","Alle"
"Applies for ""Like"" Search type only","Gilt nur für Suchtyp ""ähnliche""
Apply Layered Navigation if search results are less than"""
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Änderung der Attributeinstellung im Zusammenhang mit Suchindex. Bitte <a href=""%s"">Suchindex-Rebuild</a> ausführen"
"Autogenerated site map","Automatisch erzeugte Sitemap"
"Catalog Advanced Search","Erweiterte Katalogsuche"
"Catalog Search","Katalog-Suche"
"Don't see what you're looking for?","Finden Sie nicht wonach Sie suchen?"
"Go","Los"
"Go to Home Page","Zur Startseite"
"Grid","Gitter"
"Home","Startseite"
"List","Liste"
"Maximum Query Length","Maximallänge der Anfrage"
"Maximum Query Words Count","Maximale Anzahl Wörter für Anfrage"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minsestlänge für Anfrage"
"Modify your search","Suche ändern"
"No","Nein"
"No items were found using the following search criteria.","Es wurden mit den folgenden Suchangaben keine Artikel gefunden."
"Please enter ""0"" to enable layered navigation for any number of results","Bitte ""0"" eingeben, um die Ebenen-Navigation für jede Anzahl Ergebnisse zu aktivieren"
"Popular Search Terms","Häufigste Suchanfragen"
"Popular search terms","Häufigste Suchanfragen"
"Relevance","Relevance"
"Required Fields","Pflichtfelder"
"Results","Suchergebnisse"
"Search","Suche"
"Search Settings","Sucheinstellungen"
"Search Site","Seiten durchsuchen"
"Search Terms","Suchbegriffe"
"Search Type","Suchtyp"
"Search entire store here...","Gesamten Shop hier durchsuchen..."
"Search results for '%s'","Suchergebnisse für '%s'"
"Search results for: '%s'","Suchergebnisse für: '%s'"
"Subscribe to Feed","Feed abonnieren"
"There are no search terms available.","Es sind keine Suchbegriffe verfügbar."
"Yes","Ja"
"You have to specify at least one search term","Sie müssen mindestens ein Wort eingeben"
"Your search returns no results.","Ihre Suche lieferte keine Ergebnisse."
"up to %s","bis zu %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
