"%s was successfully added to your shopping cart.","%s wurde in den Warenkorb gelegt."
"&laquo; Back to Billing Information","« Zurück zu den Rechnungsangaben"
"&laquo; Back to Select Addresses","&laquo; Zurück zur Adressauswahl"
"&laquo; Back to Shopping Cart","&laquo; Zurück zum Warenkorb"
"* Required Fields","* Pflichtfelder"
"Add New Address","Neue Adresse hinzufügen"
"Add New Condition","Neue Bedingung"
"Add to Cart","In den Warenkorb"
"Add to Compare","Auf die Vergleichsliste"
"Add to Wishlist","Auf den Wunschzettel"
"Address","Adresse"
"Address %s of %s","Adresse %s von %s"
"After adding a product redirect to shopping cart","Nach dem Hinzufügen eines Produktes zum Warenkorb weiterleiten"
"Allow Guest Checkout","Gast-Bezahlvorgang erlauben"
"Already registered?","Bereits registiert?"
"An error occurred in the process of payment","Beim Zahlungsprozess ist ein Fehler aufgetreten"
"Apply Coupon","Gutschein einlösen"
"Are you sure you would like to remove this item from the shopping cart?","Soll dieser Artikel wirklich aus Ihrem Warenkorb entfernt werden?"
"Back","Zurück"
"Back to Shipping Information","Zurück zu den Versandangaben"
"Based on your selection, you may be interested in the following items:","Ausgehend von Ihrer Auswahl könnten Sie auch an den folgenden Produkten interessiert sein:"
"Billing Address","Rechnungsadresse"
"Billing Information","Angaben zur Rechnung"
"Billing Information - %s","Angaben zur Rechnung - %s"
"Can not add item to shopping cart","Konnte Artikel nicht in den Warenkorb legen"
"Can not apply coupon code.","Der Gutschein konnte nicht eingelöst werden."
"Can't open overview page","Kann die Übersichtsseite nicht öffnen"
"Cancel Coupon","Geschenk abbrechen"
"Cannot remove item","Artikel kann nicht entfernt werden"
"Cannot update shopping cart","Warenkorb kann nicht aktualisiert werden"
"Card Verification Number Visual Reference","Kartenprüfnummer (CVC)"
"Cart Subtotal:","Zwischentotal"
"Change","Ändern"
"Change Billing Address","Rechnungsadresse ändern"
"Checkbox text","Checkbox-Text"
"Checkout","Zur Kasse"
"Checkout Conditions","Bedingungen des Bezahlvorgangs"
"Checkout Options","Bezahlvorgang-Optionen"
"Checkout Section","Bereich Bezahlvorgang"
"Checkout Terms and Conditions","AGBs Bezahlungsvorgang"
"Checkout as Guest","Als Gast zur Kasse gehen"
"Checkout as a Guest or Register","Als Gast zur Kasse gehen oder registrieren"
"Checkout method","Wie möchten Sie zur Kasse gehen?"
"Checkout with Multiple Addresses","Zur Kasse mit mehreren Adressen"
"City","Ort"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">Hier klicken</a> um eine Kopie der Bestellungsbestätigung zu drucken."
"Close","Schliessen"
"Company","Firma"
"Condition Name","Bedingungsname"
"Condition was successfully deleted","Bedingung wurde erfolgreich gelöscht"
"Condition was successfully saved","Bedingung wurde erfolgreich gespeichert"
"Configurable product image","Bild für konfigurierbares Produkt"
"Confirm Password","Kennwort bestätigen"
"Content","Inhalt"
"Content Height","Höhe des Inhalts"
"Content Height (css)","Höhe des Inhalts (css)"
"Continue","Weiter"
"Continue Shopping","Weiter einkaufen"
"Continue to Billing Information","Weiter zu den Rechnungsangaben"
"Continue to Review Your Order","Weiter zur Bestellübersicht"
"Continue to Shipping Information","Weiter zu den Versandangaben"
"Country","Land"
"Coupon code ""%s"" is not valid.","Der Gutscheincode ""%s"" ist ungültig."
"Coupon code ""%s"" was applied successfully.","Geschenk-Code ""%s"" wurd erfolgreich angewendet."
"Coupon code was canceled successfully.","Geschenk-Code wurde erfolgreich abgebrochen."
"Create Billing Address","Rechnungsadresse erstellen"
"Create Shipping Address","Versandadresse erstellen"
"Customer Address is not valid.","Ungültige Kundenadresse."
"Data saving problem","Problem beim Speichern der Daten"
"Default Billing","Standardrechnung"
"Default Shipping","Standardversand"
"Delete Condition","Bedingung löschen"
"Details","Details"
"Disable Onepage Checkout","Einfacher Bezahlvorgang deaktivieren"
"Disabled","Deaktiviert"
"Discount Codes","Rabattcodes"
"Display Cart Summary","Warenkorbzusammenfassung"
"Display Shopping Cart Sidebar","Warenkorb-Sidebar anzeigen"
"Display item quantities","Artikelmenge"
"Display number of items in cart","Anzahl der Artikel im Warenkorb"
"Easy access to your order history and status","Einfacher Zugriff auf Ihren Bestellablauf und -status"
"Edit","Bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Billing Address","Rechnungsadresse bearbeiten"
"Edit Items","Artikel bearbeiten"
"Edit Shipping Address","Versandadresse bearbeiten"
"Edit Terms and Conditions","AGBs bearbeiten"
"Edit Your Cart","Warenkorb bearbeiten"
"Email Address","E-Mail-Adresse"
"Enable Terms and�Conditions","AGBs aktivieren"
"Enabled","Aktiviert"
"Enter a New Address","Neue Adresse eingeben"
"Enter your coupon code if you have one.","Falls Sie einen Gutscheincode einlösen möchten, geben Sie dessen Code ein."
"Enter your destination to get a shipping estimate.","Geben Sie Ihren Zielort ein, um die geschätzten Vesandkosten anzuzeigen."
"Error while deleting this condition. Please try again later.","Fehler beim Löschen dieser Bedingung. Bitte später nochmal versuchen."
"Error while saving this condition. Please try again later.","Fehler beim Speichern dieser Bedingung. Bitte später nochmal versuchen."
"Estimate Shipping and Tax","Versand und Steuern (voraussichtlich)"
"Excl. Tax","Exkl. MwSt."
"Fast and easy check out","Schneller und einfacher Bestellvorgang"
"Fax","Fax"
"Forgot an Item?","Artikel vergessen?"
"Forgot your password?","Kennwort vergessen?"
"Get a Quote","geschätzte Kosten anzeigen"
"Grand Total:","Gesamttotal:"
"Grouped product image","Bild für gruppiertes Produkt"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Inkl. MwSt."
"Invalid data","Ungültiger Wert"
"Invalid email address ""%s""","Ungültige E-Mail-Adresse ""%s"""
"Invalid shipping method.","Ungültige Versandart."
"Items","Artikel"
