"* Required Fields","* Pflichtfelder"
"Comment","Kommentar"
"Contact Form","Kontaktformular"
"Contact Information","Kontaktdaten"
"Contact Us","Kontaktieren Sie uns"
"Contacts","Kontakte"
"Contacts Section","Bereich Kontakte"
"Email","E-Mail"
"Email Options","E-Mail-Optionen"
"Email Sender","E-Mail-Absender"
"Email Template","E-Mail-Vorlage"
"Enable Contact Us","'Kontakt' aktivieren"
"Name","Name"
"Send Emails To","Sende E-Mails an"
"Submit","Abschicken"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Fehler beim übertragen der Anfrage. Bitte versuchen Sie es später noch einmal."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Ihre Anfrage wurde übermittelt und wird so bald wie möglich beantwortet. Vielen Dank für Ihre Nachricht!"
"Contact Us","Contact Us"
"Contact Information","Contact Information"
"Name","Name"
"Email","Email"
"Telephone","Telephone"
"Comment","Comment"
"* Required Fields","* Required Fields"
