"%s already exist","%s existieren bereits"
"%s already exists","%s existiert bereits"
"-- Please Select --","-- Bitte auswählen --"
"Add Block Names to Hints","Den Tipps Blocknamen hinzufügen"
"Add Secret Key to URLs","Geheimen Schlüssel den URLs hinzufügen"
"Add Store Code to Urls","Shop-Code den URLs hinzufügen"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin Benutzer-E-Mails"
"Advanced","Erweitert"
"Allow countries","Erlaubte Länder"
"Allowed IPs (comma separated)","Erlaubte IP-Adressen (kommagetrennt)"
"Are you sure?","Sind Sie sicher?"
"Back","Zurück"
"Backup options","Backup-Optionen"
"Base JavaScript URL","Basis-URL für JavaScript"
"Base Link URL","Basis-URL für Link"
"Base Media URL","Basis-URL für Medien"
"Base Skin URL","Basis-URL für Skins"
"Base URL","Basis-URL"
"Before modifying the store view code please make sure that it is not used in index.php","Bevor Sie den Programmcode der Store View ändern, stellen Sie sicher, dass er nicht in index.php verwendet wird"
"Before modifying the website code please make sure that it is not used in index.php","Bevor Sie den Programmcode der Website ändern, stellen Sie sicher, dass er nicht in index.php verwendet wird"
"Block with name ""%s"" already exists","Der Block mit dem Namen ""%s"" existiert bereits"
"Blocks HTML output","Blocks HTML-Ausgabe"
"Can't retrieve request object","Kann angefordertes Objekt nicht abrufen"
"Can't retrieve entity config: %s","Kann die Objekt-Konfig nicht finden: %s"
"Cancel","Abbrechen"
"Cannot Delete Email Template","Kann E-Mail-Vorlage nicht löschen"
"Cannot complete this operation from non-admin area.","Kann diesen Befehl nicht ausführen, wenn nicht im Admin-Bereich."
"Category object is required for determining product request path","Kategorie wird benötigt, um den Produktpfad harauszufinden"
"Code","Code"
"Collections Data","Kollektionsdaten"
"Configuration","Konfiguration"
"Controller file was loaded but class does not exist","Controller-Datei wurde geladen, aber Klasse existiert nicht"
"Cookie Domain","Cookie-Domäne"
"Cookie Lifetime","Cookie-Lebenszeit"
"Cookie Path","Cookie-Pfad"
"Copyright","Copyright"
"Countries options","Länderoptionen"
"Create Store","Shop anlegen"
"Create Store View","Shop-Ansicht anlegen"
"Create Website","Website anlegen"
"Current package name","Aktueller Paketname"
"Custom Design","Eigene Gestaltung"
"Custom admin URL","Eigene Admin-URL"
"Custom email 1","Eigene E-Mail 1"
"Custom email 2","Eigene E-Mail 2"
"Customer support","Kundensupport"
"Date From","Vom"
"Date To","Bis"
"Date/time format ""%s"" is not supported.","Datums-/Zeitformat ""%s"" wird nicht unterstützt."
"Debug","Fehlersuche"
"Default","Standard"
"Default Description","Standardbeschreibung"
"Default Keywords","Standard-Keywords"
"Default Pages","Standarseiten"
"Default Robots","Standard-Robots"
"Default Store","Standard-Shop"
"Default Store View","Standard Shop-Ansicht"
"Default Title","Standard-Titel"
"Default country","Standard-Land"
"Default no-route url","Standard No-Route URL"
"Default web url","Standard-Web-URL"
"Delete","Löschen"
"Delete Store","Shop löschen"
"Delete Store View","Shop-Ansicht löschen"
"Delete Website","Website löschen"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Das Löschen einer %1$s wird die mit dem %1$s verbundenen Informationen (z.B. Kategorien, Produkte, etc.) nicht löschen, aber %1$s wird nicht mehr wiederhergestellt werden können. Es wird vor dem Löschen der %1$s empfohlen ein Datenbank-Backup zu machen."
"Design","Gestaltung"
"Design Change","Gestaltungsänderung"
"Developer","Entwickleroptionen"
"Developer Client Restrictions","Entwickler-Clientbeschränkung"
"Disable email communications","E-Mail-Funktionen abschalten"
"Disable modules output","Modulausgaben deaktivieren"
"Duplicate Of Template Code","Duplikate des Vorlagencodes"
"Edit Design Change","Gestaltungsänderung bearbeiten"
"Edit Store","Shop bearbeiten"
"Edit Store View","Shop-Ansicht bearbeiten"
"Edit Website","Website bearbeiten"
"Empty identifier field name","Leerer Bezeichner-Feldname"
"Empty main table name","Leerer Name der Haupttabelle"
"Enabled","Aktiviert"
"Enabled for Admin","Aktiviert für Admin"
"Enabled for Frontend","Aktiviert für Shop"
"Error in file: ""%s"" - %s","Fehler in Datei: ""%s"" - %s"
"Error while saving. Please try again later.","Fehler beim Speichern. Bitte versuchen Sie es später noch einmal."
"Error: Passwords do not match","Error: Passwords do not match"
"Exceptions Log File Name","Exceptions-Protokoll Dateiname"
"First Day of Week","Erster Wochentag"
"Footer","Footer"
"Forgot Password Email Sender","Absender für ""Kennwort vergessen""-E-Mail"
"Forgot Password Email Template","Vorlage für ""Kennwort vergessen""-E-Mail"
"General","Allgemein"
"General Settings","Allgemeine Einstellungen"
"General contact","Allgemeiner Kontakt"
"Global","Global"
"HTML Head","HTML Head"
"Header","Header"
"Host","Server"
"Id path for specified store","ID-Pfad für angegebenen Shop"
"Incorrect credit card expiration date","Falsches Kreditkarten-Ablaufdatum"
"Invalid base url type","Ungültiger Basis-URL-Typ"
"Invalid block name to set child %s: %s","Ungültiger Blockname um Kindelement %s zu setzen: %s"
"Invalid block type: %s","Ungültiger Blocktyp: %s"
"Invalid block: %s","Ungültiger Block: %s"
