"* Required Fields","* Pflichtfelder"
"A new password was sent","Es wurde ein neues Kennwort verschickt"
"Account Dashboard","Konto-Übersicht"
"Account Information","Benutzerkonto-Information"
"Account Sharing Options","Kundenkonto-Verteilungsoptionen"
"Account information was successfully saved","Die Daten des Benutzerkontos wurden gespeichert"
"Action","Aktion"
"Add New Address","Neue Adresse hinzufügen"
"Add New Customer","Kunde hinzufügen"
"Add New Customer Group","Kundengruppe hinzufügen"
"Added From","Hinzugefügt von"
"Additional Address Entries","Zusätzliche Adresseinträge"
"Address","Adresse"
"Address Book","Adressbuch"
"Address Information","Adressinformation"
"Addresses","Adressen"
"Admin","Admin"
"All","Alle"
"All Store Views","Alle Shop-Ansichten"
"All countries","Alle Länder"
"Always optional","Immer optional"
"Amount","Betrag"
"Approved","Bestätigt"
"Are you sure that you want to remove this item?","Sind Sie sicher, dass Sie diesen Artikel entfernen wollen?"
"Are you sure you want to cancel adding of this address?","Sind Sie sicher, dass Sie die Adresseingabe abbrechen möchten?"
"Are you sure you want to delete this address?","Soll diese Adresse wirklich gelöscht werden?"
"Are you sure?","Sind Sie sicher?"
"Array of Entity collections is expected","Zusammenstellung von Datensatzsammlungen erwartet"
"Assign a customer group","Kundengruppe zuweisen"
"Average Sale","Durchschnittlicher Verkauf"
"Back","Zurück"
"Back to Login","Zurück zur Anmeldung"
"Bad request.","Falsche Anfrage."
"Bill to Name","Fakturieren an Namen"
"Billing Information","Rechnungsinformation"
"Bought From","Gekauft von"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Wenn Sie in unserem Shop ein Benutzerkonto einrichten, werden Sie schneller durch den Bestellvorgang geführt, können mehrere Versandadressen speichern, können Ihren bisherigen Bestellablauf verfolgen und vieles mehr."
"CSV","CSV"
"Can't save address","Kann Adresse nicht speichern"
"Can't save customer","Kann Kunden nicht speichern"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Kann Kundenkonten global nicht gemeinsam nutzen. Weil Kundenkonten mit selben E-Mails in mehreren Websites bestehen und nicht zusammen geführt werden können."
"Cancel","Abbrechen"
"Change Account Password","Kennwort für Benutzerkonto ändern"
"Change Billing Address","Rechnungsadresse ändern"
"Change Password","Kennwort ändern"
"Change Shipping Address","Versandanschrift ändern"
"City","Stadt"
"Company","Firma"
"Config","Konfiguration"
"Confirm New Password","Neues Kennwort bestätigen"
"Confirm Password","Kennwort bestätigen"
"Confirmation Link Email","Bestätigungs-E-Mail-Link"
"Confirmed","Bestätigt"
"Contact Information","Kontaktdaten"
"Continue Shopping","Weiter einkaufen"
"Country","Land"
"Create","Erstellen"
"Create New Account Options","Neue Kundenkonten-Optionen anlegen"
"Create New Customer Account","Kundenkonto erstellen"
"Create Order","Bestellung anlegen"
"Create an Account","Benutzerkonto anlegen"
"Create customer","Kunden erstellen customer"
"Create customer address","Kundenadresse erstellen"
"Current Password","Aktuelles Kennwort"
"Customer","Kunde"
