"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Access denied to destination folder ""%s""","Kein Zugriff auf Zielverzeichnis ""%s"""
"Could not load file: ""%s""","Konnte Datei ""%s"" nicht laden"
"Could not save file: %s","Konnte Datei ""%s"" nicht speichern"
"Declared adapter %s not found","Deklarierter Adapter ""%s"" nicht gefunden"
"Destination folder ""%s"" does not exist or not access to create","Zielverzeichnis ""%s"" existiert nicht oder kann nicht angelegt werden"
"Destination folder ""%s"" is not a directory","Zielverzeichnis ""%s"" ist kein Verzeichnis"
"Destination folder ""%s"" is not a writeable","Zielverzeichnis ""%s"" ist nicht beschreibbar"
"Done","Fertig"
"Dry run set, stopping execution","Trockenlauf gesetzt, Ausführung wird gestoppt"
"ETA: %s","Geschätzte Zeit: %s"
"Error field mapping! Fields list for mapping is not defined","Fehler bei der Felderabstimmung! Feldliste für Abstimmung ist nicht definiert"
"Error occured during file opening: ""%s""","Fehler beim Öffnen der Datei ""%s"""
"File ""%s"" don't exist","File ""%s"" don't exist"
"Found %d rows","%d Zeilen gefunden"
"Less than a minute","Weniger als eine Minute"
"Loaded successfully: ""%s""","Erfolgreich geladen: ""%s"""
"Memory Used: %s","Belegter Arbeitsspeicher: %s"
"Method ""%s"" not defined in adapter %s","Methode ""%s"" ist im Adapter %s nicht definiert"
"Please declare ""adapter"" and ""method"" node first","Bitte deklarieren Sie den ""Adapter""- und ""Methode""-Knoten vorgängig"
"Processed records: %s","Verarbeitete Einträge: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Erfolgreich gespeichert: ""%s"" [%d Byte(s)]"
"Sheet 1","Blatt 1"
"Skip undefined row","Nicht definierte Zeile übersprungen"
"Starting %s :: %s","Starte %s :: %s"
"Total records: %s","Gesamtanzahl Einträge: %s"
"hour","Stunde"
"hours","Stunden"
"minute","Minute"
"minutes","Minuten"
