"-- Please select --","-- Bitte auswählen --"
"Allowed currencies","Erlaubte Währungen"
"Base currency","Basiswährung"
"Cannot retrieve rate from %s","Umrechnungskurs konnte nicht von %s abgerufen werden"
"Connection timeout in seconds","Verbindungs-Timeout in Sekunden"
"Continue &raquo;","Weiter &raquo;"
"Country","Land"
"Country Api","Land-API"
"Country and Format Type combination should be unique","Land- und Formatkombination sollte eindeutig sein."
"Currency","Währung"
"Currency Options","Währungsoptionen"
"Currency Setup","Einrichten der Wähung"
"Currency Update Warnings","Aktualisierungswarnung der Währung"
"Currency will be used for all online payment transactions","Währung wird für alle Online-Zahlungstransaktionen verwendet"
"Default display currency","Standardmässig angezeigte Währung"
"Directory","Verzeichnis"
"Enabled","Aktiviert"
"Error Email Recipient","Fehler E-Mail Emfpänger"
"Error Email Sender","Absender für Fehler-E-Mail"
"Error Email Template","Vorlage für Fehler-E-Mail "
"FATAL ERROR:","Schwerwiegender Fehler:"
"Frequency","Häufigkeit"
"Installed Currencies","Installierte Währungen"
"Invalid Import Service Specified","Ungültiger Importservice angegeben"
"Invalid country code: %s","Ungültiger Ländercode: %s"
"Invalid rates received","Ungültige Kurse empfangen"
"Invalid target currency","Ungültige Zielwährung"
"List of countries","Länderliste"
"List of regions in specified country","Liste der Regionen im gewählten Land"
"Region","Region"
"Region Api","Region-API"
"Remove space from currency sign","Leerzeichen aus Währungssymbol entfernen"
"Scheduled Import Settings","Einstellungen für terminierten Import"
"Select Your Currency","Währung wählen"
"Service","Service"
"Start Time","Startzeit"
"State/Province","Land/Kanton"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Importmodel konnte nicht gestartet werden"
"Undefined rate from ""%s-%s""","Nicht definierter Wechselkurs ""%s-%s"""
"WARNING:","WARNUNG:"
"Webservicex","Webservicex"
"Your current currency is: %s","Ihre aktuelle Währung ist: %s"
