"* Select shipping method","* Wählen Sie eine Versandmethode"
"AVS Status: %s","AVS Status: %s"
"Add","Hinzufügen"
"Add Shipping Method","Neue Versandart"
"Allowed Methods","Erlaubte Arten"
"Amount: %s","Menge: %s"
"Auto-generated from GoogleCheckout Charge","Automatisch erzeugter GoogleCheckout-Betrag"
"Buyer account age: %s days","Alter des Käuferaccounts: %s Tag(e)"
"CC Partial: xxxx-%s","CC anteilig: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Vom Boten berechnete Arten"
"Cart Discount","Warenkorb-Rabatt"
"Checkout Image Style","Bezahlbild Style"
"Continue Shopping URL","URL für Einkauf fortsetzen"
"Debug","Debug"
"Default Package Height (in)","Standard-Pakethöhe (cm)"
"Default Package Length (in)","Standard-Paketlänge (cm)"
"Default Package Width (in)","Standard-Paketbreite (cm)"
"Default price for methods","Standardpreis der Arten"
"Default price:","Standardpreis:"
"Delivery Address Category","Lieferadressen-Kategorie"
"Delivery schedule","Lieferplan"
"Disable Default Tax Tables","Standard-Steuertabellen deaktivieren"
"Eligible for protection: %s","Versicherungsberechtigt: %s"
"Enable","Aktivieren"
"Enable Carrier Calculated","Vom Boten berechnet aktivieren"
"Enable Digital Delivery","Digitale Lieferung aktivieren"
"Enable Flat Rate","Festkosten aktivieren"
"Enable Merchant Calculated","Vom Händler berechnet aktivieren"
"Enable this if your checkout request is too big and being cut off.","Dies aktivieren, wenn Deine Checkout-Anfrage zu gross ist und abgeschnitten wird."
"Expiration: %s","Verfallsdatum: %s"
"Financial: %s -> %s","Finanzen: %s -> %s"
"Free Shipping","Gratisversand"
"Fulfillment: %s -> %s","Erfüllung: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google Autorisation:"
"Google Buyer Id: %s","Google Käufer Id: %s"
"Google Charge:","Google Kosten:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Versand - Vom Versender berechnet"
"Google Checkout Shipping - Digital Delivery","Google Checkout Versand - Digitale Lieferung"
"Google Checkout Shipping - Flat Rate","Google Checkout Versand - Festpreis"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Versand - Vom Verkäufer berechnet"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google Bestellnummer: %s"
"Google Refund:","Google Erstattung:"
"Google Risk Information:","Google Risiko Information:"
"Google order status change:","Google Bestellstatus Änderung:"
"Hide Cart Contents During Checkout","Verberge Warenkorbinhalt während Bezahlvorgang"
"IP Address: %s","IP Adresse: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Wenn aktiviert wird der Inhalt des Warenkorbs nach dem Klick auf den Google Checkout Knopf verborgen, und wieder hergestellt, wenn der ""Warenkorb bearbeiten""-Link aktiviert wurde."
"Invoice auto-created: %s","Rechnung automatisch erstellt: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Möchte der Käufer Marketing-E-Mails erhalten: %s"
"Large - %s","Large - %s"
"Latest Charge: %s","Letzte Belastung: %s"
"Latest Refund: %s","Letzte Erstattung: %s"
"Location","Ort"
"Medium - %s","Medium - %s"
"Merchant ID","Verkäufer-ID"
"Merchant Key","Verkäufer-Key"
"Method","Art"
"New order status","Neuer Bestellstatus"
"No","Nein"
"Optional, leave empty for home page.","Optional, leer lassen für Startseite."
"Rate 1 Amount","Rate 1 Betrag"
"Rate 1 Ship To Applicable Countries","Rate 1 Versand in anwendbare Länder"
"Rate 1 Ship to Specific Countries","Rate 1 Versand in spezifische Länder"
"Rate 1 Title","Rate 1 Titel"
"Rate 2 Amount","Rate 2 Betrag"
"Rate 2 Ship To Applicable Countries","Rate 2 Versand in anwendbare Länder"
"Rate 2 Ship to Specific Countries","Rate 2 Versand in spezifische Länder"
"Rate 2 Title","Rate 2 Titel"
"Rate 3 Amount","Rate 3 Betrag"
"Rate 3 Ship To Applicable Countries","Rate 3 Versand in anwendbare Länder"
"Rate 3 Ship to Specific Countries","Rate 3 Versand in spezifische Länder"
"Rate 3 Title","Rate 3 Titel"
"Remove","Entfernen"
"Required for live Google Checkout transactions.","Benötigt für direkte Google Checkout Transaktionen."
"Sandbox","Sandbox"
"Secure Callback URL","Sichere Callback-URL"
"Small - %s","Small - %s"
"Total Charged: %s","Gesamtbelastung: %s"
"Total Refunded: %s","Gesamterstattung: %s"
"Transparent","Transparent"
"United Kingdom","Vereinigtes Königreich"
"United States","Vereinigte Staaten"
"Virtual item to reflect discount total","Fiktives Element für Gesamtrabatt"
"White Background","Weisser Hintergrund"
"You will be redirected to GoogleCheckout in a few seconds.","Sie werden in wenigen Sekunden zu GoogleCheckout weitergeleitet."
