"API Login ID","API Login ID"
"Authorize Only","Nur authorisieren"
"Authorize and Capture","Authorisieren und erfassen"
"Authorize.net","Authorize.net"
"Credit Card Types","Kreditkartentypen"
"Credit Card Verification","Kreditkartenverifikation"
"Debug","Debug"
"Email customer","E-Mail Kunde"
"Enabled","Aktiviert"
"Error in authorizing the payment","Fehler beim Authorisieren der Zahlung"
"Error in capturing the payment","Fehler beim Erfassen der Zahlung"
"Error in payment gateway","Error in payment gateway"
"Error in refunding the payment","Fehler beim Erstatten der Zahlung"
"Error in refunding the payment.","Fehler beim Erstatten der Zahlung."
"Error in retrieving the transaction","Error in retrieving the transaction"
"Fraud order status","Status betrügerische Bestellung"
"Gateway request error: %s","Gateway Anfragefehler: %s"
"Invalid amount for authorization","Ungültiger Betrag für die Authorisation"
"Invalid amount for authorization.","Ungültiger Betrag für die Authorisation."
"Invalid transaction id","Ungültige TransaktionsID"
"Maximum Order Total","Maximaler Gesamtbetrag für Bestellung"
"Merchant Login","Verkäuferlogin"
"Merchant's email","Verkäufer E-Mail"
"Minimum Order Total","Mindest-Gesamtbetrag für Bestellung"
"New order status","Neuer Bestellstatus"
"Partner","Partner"
"Password","Kennwort"
"Payflow Pro","Payflow Pro"
"Payment Action","Zahlungsaktion"
"Payment authorization error.","Fehler beim Authorisieren der Zahlung."
"Payment authorization transaction has been declined.","Zahlungsauthorisation - Transaktion wurde abgelehnt."
"Payment from Specific countries","Zahlung von spezifischen Ländern"
"Payment from applicable countries","Zahlung von zugelassenen Ländern"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","Reihenfolge"
"TENDER","Angebot"
"Test mode","Testmodus"
"Title","Titel"
"Transaction key","Transaktionsschlüssel"
"URL","URL"
"Use Proxy","Proxy benutzen"
"User","Benutzer"
"VERBOSITY","Ausgabe erzwingen"
"Voided transaction","Aufgehobene Transaktion"
