" The customer doesn't exist in the system anymore"," Der Kunde existiert nicht mehr im System"
"""%s"" coupon code is not valid.","""%s"" Gutscheincode ist nicht gültig."
"%s / %s rate:","%s / %s Satz:"
"%s for %s","%s für %s"
"%s order(s) successfully canceled","%s Bestellung(en) erfolgreich abgebrochen"
"%s order(s) successfully put on hold","%s Bestellung(en) erfolgreich zurück gestellt"
"%s order(s) successfully released from holding status","%s Bestellung(en) erfolgreich von Status 'zurück gestellt' befreit"
"* - Enter custom price excluding tax","* - Eigenen Preis exkl. MwSt. eingeben"
"* - Enter custom price including tax","* - Eigenen Preis inkl. MwSt. eingeben"
"About This Order:","Über diese Bestellung:"
"About Your Order","Über Ihre Bestellung"
"Account Information","Benutzerkonto-Information"
"Action","Aktion"
"Actions","Aktionen"
"Add","Hinzufügen"
"Add Gift Messsage","Geschenknachricht hinzufügen"
"Add New Address","Neue Adresse hinzufügen"
"Add Order Comments","Kommentar zur Bestellung hinzufügen"
"Add Products","Produkte hinzufügen"
"Add Selected Product(s) to Option","Gewählte Produkte der Option hinzufügen"
"Add Selected Product(s) to Order","Ausgewählte Produkte der Bestellung hinzufügen"
"Add To Order","Zur Bestellung hinzufügen"
"Add Tracking Number","Trackingnummer hinzufügen"
"Add a gift message for <strong>each gift item</strong>","Geschenknachricht für <strong>jedes Geschenk</strong> hinzufügen"
"Add a gift message for the <strong>entire order</strong>","Geschenknachricht für <strong>gesamte Bestellung</strong> hinzufügen"
"Add comment to order","Der Bestellung einen Kommentar hinzufügen"
"Add new comment to shipment","Dem Versand einen neuen Kommentar hinzufügen"
"Add new tracking number","Neue Trackingnummer hinzufügen"
"Add to Cart","In den Warenkorb"
"Address","Adresse"
"Adjustment Fee","Anpassung Gebühr"
"Adjustment Fee:","Anpassung Gebühr:"
"Adjustment Refund","Anpassung Rückerstattung"
"Adjustment Refund:","Anpassung Rückerstattung:"
"Allow Reorder","Nachbestellung erlauben"
"Amount","Betrag"
"Append Comments","Kommentar anfügen"
"Apply","Anwenden"
"Apply Coupon Code","Gutschein anrechnen"
"Are you sure you want to cancel this order?","Möchten Sie den Bestellvorgang wirklich abbrechen?"
"Are you sure?","Sind Sie sicher?"
"Are you sure? This order will be cancelled and a new one will be created instead","Sind Sie sicher? Die Bestellung wird storniert und an ihrer Stelle eine neue erzeugt"
"Back to My Orders","Zurück zu meinen Bestellungen"
"Backordered","Nachbestellt"
"Bill to First name","Rechnung an - Vorname"
"Bill to Last name","Rechnung an - Nachname"
"Bill to Name","Rechnung an"
"Billing Address","Rechnungsadresse"
"Buy %s for price %s","Kaufe %s zum Preis von %s"
"Can not add order history.","Kann Bestellverlauf nicht hinzufügen."
"Can not create block ""%s""","Block ""%s"" kann nicht erstellt werden"
"Can not do invoice for order.","Kann keine Rechnungs für Bestellung erstellen."
"Can not do shipment for order.","Versand für die Bestellung kann nicht angestossen werden."
"Can not register existing creditmemo","Bestehende Gutschrift kann nicht erfasst werden."
"Can not register existing invoice","Bestehende Rechnung kann nicht erfasst werden."
"Can not register existing shipment","Bestehender Versand kann nicht erfasst werden."
"Can't get order instance","Die Instanz der Bestellungs kann nicht gefunden werden"
"Cancel","Abbrechen"
"Cancel invoice","Rechnung abbrechen"
"Cancel order","Bestellung abbrechen"
"Canceled","Storniert"
"Cannot create an empty shipment.","Kann keinen leeren Versand erstellen."
"Capture","Erfassen"
"Capture Amount","Betrag erfassen"
"Capture Offline","Offline erfassen"
"Capture Online","Online erfassen"
"Capture invoice","Rechnung erfassen"
"Carrier","Versender"
"Change Status","Status ändern"
"Change status, add comments","Status ändern, Kommentare hinzufügen"
"Checkout totals sort order","Reihenfolge der Gesamtbeträge des Bezahlvorgangs"
"Click to change shipping method","Ändern der Versandmethode"
"Closed","geschlossen"
"Comment","Kommentar"
"Comment Text","Kommentartext"
"Comments","Kommentare"
"Comments History","Kommentarverlauf"
"Complete","vollständig"
"Country","Land"
"Coupons","Gutscheine"
"Create","Erstellen"
"Create New Customer","Kunden anlegen"
"Create New Order","Bestellung anlegen"
"Create New Order for %s","Bestellung anlegen für %s"
"Create New Order for %s in %s","Bestellung anlegen für %s in %s"
"Create New Order for New Customer","Bestellung für Neukunden anlegen"
"Create New Order for New Customer in %s","Bestellung für Neukunden anlegen in %s"
"Create Shipment","Versand starten"
"Create new invoice for order","Neue Rechnung für Bestellung erstellen"
"Create new shipment for order","Neue Rechnung für Bestellung erstellen"
"Created At","Erstellt am"
"Credit Memo","Gutschrift"
"Credit Memo #","Gutschrift Nr."
"Credit Memo # ","Gutschrift Nr."
"Credit Memo Comment Email Sender","E-Mail-Absender für Gutschriftenkommentar"
"Credit Memo Comment Email Template","E-Mail-Vorlage für Gutschriftenkommentar"
"Credit Memo Comment Email Template for Guest","Gutschrifts-Kommentar E-Mail-Vorlage für Gast"
"Credit Memo Comments","Gutschriftenkommentar"
"Credit Memo Email Sender","Absender für Gutschrift-E-Mail"
"Credit Memo Email Template","Vorlage für Gutschrift-E-Mail"
"Credit Memo Email Template for Guest","gutschrifts-E-Mail-Vorlage für Gast"
"Credit Memo Update","Gutschrifts-Update"
"Credit Memo Update for Guest","Gutschrifts-Update für Gast"
"Credit Memo email not sent","Gutschrift-E-Mail nicht versandt"
"Credit Memo email sent","Gutschrift-E-Mail versandt"
"Credit Memos","Gutschriften"
"Creditmemo","Gutschrift"
"Custom Options","Eigene Optionen"
"Custom Price","Eigener Preis"
"Custom Value","Eigener Wert"
"Customer","Kunde"
"Customer Group","Kundengruppe"
"Customer Name","Kundenname"
"Customer's Current Activities","Aktuelle Tätigkeiten des Kunden"
"Date","Datum"
"Date Shipped","Versanddatum"
"Date of Birth","Geburtsdatum"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Standard-Logo, wird in PDF- und HTML-Dokumenten benutzt.<br />(jpeg, tiff, png)"
"Delete","Löschen"
"Description message","Description message"
"Discount","Rabatt"
"Discount ","Rabatt "
"Discount (%s)","Rabatt (%s)"
"Discount :","Rabatt:"
"Discount Amount","Rabattbetrag:"
"Discount%s","Rabatt%s"
"Display Order ID in Header","Bestellungs-ID in Kopfzeile anzeigen"
"Document","Dokument"
"Edit","Bearbeiten"
"Edit Gift Messsage","Geschenknachricht bearbeiten"
"Edit Order #%s","Ändern der Bestellung Nr. %s"
"Email","E-Mail"
"Email Copy of Credit Memo","E-Mailkopie der Gutschrift"
"Email Copy of Invoice","E-Mailkopie der Rechnung"
"Email Copy of Shipment","E-Mailkopie der Versandinformationen"
"Email Order Confirmation","E-Mailkopie der Bestellbestätigung"
"Enable","Aktivieren"
"Enabled","Aktiviert"
"Error to show in shopping cart","Im Warenkorb angezeigter Fehler"
"Excl. Tax","Exkl. MwSt."
"From","Von"
"From Name","Von Name"
"From:","Von:"
"G.T. (Base)","Gesamttotal (Basis)"
"G.T. (Purchased)","Gesamttotal (gekauft)"
"Get shipping methods and rates","Versandarten und -kosten abrufen"
"Gift","Geschenk"
"Gift Certificate","Geschenkgutschein"
"Gift Message","Geschenknachricht"
"Gift Message for Entire Order","Geschenknachricht für gesamte Bestellung"
"Gift Message for this Order","Geschenknachricht für diese Bestellung"
"Grand Total","Gesamtsumme"
"Grand Total to be charged","zu belastender Gesamtbetrag"
"Grand Total:","Gesamttotal:"
"Guest","Gast"
"Hold","Zurückstellen"
"Hold action is not available","Zurückstellen nicht verfügbar"
"Hold order","Bestellung zurückstellen"
"ID","ID"
"If empty, the default description above will be used","Falls leer gelassen, wird die obige Standardbeschreibung benutzt"
"If empty, the default error above will be used","Falls leer gelassen, wird die obige Standard-Fehlermeldung benutzt"
"Incl. Tax","Inkl. MwSt."
"Information","Information"
"Invalid carrier specified.","Ungültigen Boten angegeben."
"Invalid item option format","Ungültigen Artikeloption-Format"
"Invalid qty to invoice item ""%s""","Ungültige Menge, um Artikel ""%s"" in Rechnung zu stellen"
"Invalid qty to refund item ""%s""","Ungültige Menge, um Artikel ""%s"" zurück zu erstatten"
"Invalid qty to ship for item ""%s""","Ungültige Menge, um Artikel ""%s"" zu versenden"
"Invalid renderer model","Ungültiges Renderer-Modell"
"Invalid request for adding product to quote","Ungültige Anfrage zum Produkt zur Rate hinzufügen"
"Invoice","Rechnung"
"Invoice #","Rechnung Nr."
"Invoice # ","Rechnung Nr."
"Invoice #%s","Rechnung Nr. %s"
"Invoice Comment Email Sender","E-Mail-Absender für Rechnungskommentar"
"Invoice Comment Email Template","E-Mail-Vorlage für Rechnungskommentar"
"Invoice Comment Email Template for Guest","Rechnungskommentar-E-Mail-Vorlage für Gast"
"Invoice Comments","Rechnungskommentare"
"Invoice Date","Rechnungsdatum"
