"Actions","Aktionen"
"Active","Aktiv"
"Add New Rule","Neue Regel anlegen"
"Apply","Anwenden"
"Apply the rule only if the following conditions are met (leave blank for all products)","Regel nur bei folgenden Bedingungen anwenden (leer lassen für alle Produkte)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Regel nur bei folgenden Bedingungen auf Artikel im Warenkorb anwenden (leer lassen für alle Artikel)"
"Apply the rule to cart items matching the following conditions","Regel nur bei folgenden Bedingungen auf Artikel im Warenkorb anwenden"
"Apply to","Anwenden auf"
"Buy X get Y free (discount amount is Y)","Kaufe X, bekomme Y kostenlos (Rabattmenge ist Y)"
"By Fixed Amount","Durch festen Betrag"
"By Fixed value","Durch festen Wert"
"By Percentage","Durch Prozent"
"By Percentage of the original price","Durch Prozentsatz auf den Originalpreis"
"Cart Attribute","Warenkorbattribut"
"Catalog","Katalog"
"Conditions","Bedingungen"
"Conditions combination","Bedingungskombination"
"Coupon Code","Gutscheincode"
"Coupon code","Gutscheincode"
"Customer Groups","Kundengruppen"
"Customer is new buyer: %s","Kunde ist Neukunde: %s"
"Customer registered: %s","Kunde registriert: %s"
"Date Expire","Auslaufdatum"
"Date Start","Startdatum"
"Delete Rule","Regel löschen"
"Description","Beschreibung"
"Description: %s","Beschreibung: %s"
"Discount Qty Step (Buy X)","Rabattmengenschritt (kaufe X)"
"Discount amount","Rabattbetrag"
"Edit Rule","Regel bearbeiten"
"Edit Rule '%s'","Regel '%s' bearbeiten"
"Expire at: %s","Endet am: %s"
"Fixed amount discount","Rabatt mit festem Wert"
"Fixed amount discount for whole cart","Fester Rabattbetrag für gesamten Warenkorb"
"For matching items only","Nur für passende Artikel"
"For shipment with matching items","Für Versand mit passenden Artikeln"
"Free shipping","Versand kostenlos"
"From Date","Datum von"
"General Information","Allgemeine Information"
"ID","ID"
"Inactive","Inaktiv"
"Maximum Qty Discount is Applied to","Höchstmöglicher Rabatt wurde angewandt auf"
"NOT LOGGED IN","Nicht eingeloggt!"
"Name: %s","Name: %s"
"New Rule","Neue Regel"
"No","Nein"
"Payment Method","Zahlart"
"Percent of product price discount","Rabatt - Prozent des Produktpreises"
"Price in cart","Preis im Warenkorb"
"Priority","Priorität"
"Product attribute combination","Produktmerkmal Zusammenstellung"
"Products subselection","Unterauswahl der Produkte"
"Promotions","Ankündigungen"
"Public In RSS Feed","Öffentlich im RSS-Feed"
"Quantity in cart","Menge im Warenkorb"
"Row total in cart","Zeilen gesamt im Warenkorb"
"Rule Information","Regelinformationen"
"Rule Name","Regelname"
"Rule was successfully deleted","Regel wurde erfolgreich gelöscht"
"Rule was successfully saved","Regel wurde erfolgreich gespeichert"
"Save Rule","Regel speichern"
"Shipping Country","Versandstadt"
"Shipping Method","Versandart"
"Shipping Postcode","Versand-PLZ"
"Shipping Region","Versandregion"
"Shipping State/Province","Versandland"
"Shopping Cart Price Rule","Warenkorb Preisregel"
"Shopping Cart Price Rules","Preisregeln für Warenkorb"
"Special price","Sonderpreis"
"Start at: %s","Start am: %s"
"Status","Status"
"Stop further rules processing","Weitere Regeln nicht mehr anwenden"
"Subtotal","Zwischentotal"
"The page you are trying to save no longer exists","Die Seite, die Sie zu speichern versuchen, existiert nicht mehr"
"This rule no longer exists","Diese Regel existiert nicht mehr"
"To Date","Datum bis"
"To Fixed Amount","Auf festen Betrag"
"To Fixed Value","Auf festen Wert"
"To Percentage","Auf Prozent"
"To Percentage of the original price","Auf Prozent vom Originalpreis"
"Total Items Quantity","Artikelgesamtmenge"
"Total Weight","Gesamtgewicht"
"Unable to find a page to delete","Zu löschende Seite wurde nicht gefunden"
"Update prices using the following information","Preise gemäss folgender Informationen aktualisieren"
"Update product's %s %s: %s","Aktualisiere %s %s des Produkts: %s"
"Update the Product","Produkt aktualisieren"
"Uses per coupon","Max. Verwendung pro Gutschein"
"Uses per customer","Max. Verwendung pro Kunde"
"Yes","Ja"
