"-- Please Select --","-- Bitte auswählen --"
"Add New Class","Neue Klasse anlegen"
"Add New Tax Rate","Neuen Steuersatz anlegen"
"Add New Tax Rule","Neue Steuerregel anlegen"
"Apply Discount On Prices Including Tax","Rabatt auf Preise inkl. MwSt. anwenden"
"Apply Tax After Discount","Steuer nach Rabatt anwenden"
"Apply Tax On","Steuer anwenden auf"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Back","Zurück"
"CSV","CSV"
"Calculation","Berechnung"
"Catalog prices include tax","Katalogpreise beinhalten die Steuer"
"Class Name","Klassenname"
"Code","Code"
"Country","Land"
"Country/Region/Postal code combination","Land/Kanton/PLZ-Kombination"
"County","Kanton/Bezirk"
"Custom price if available","Eigener Preis falls verfügbar"
"Customer Tax Class","Kundensteuerklasse"
"Customer Tax Class Information","Informationen zu Kundensteuerklasse"
"Customer Tax Classes","Kundensteuerklassen"
"Default Country","Standard-Land"
"Default Post Code","Standard-Postleitzahl"
"Default State","Standard-Kanton"
"Default Tax Origin Calculation","Standard-Steuerberechnung gemäss Ursprung"
"Delete Class","Steuerklasse löschen"
"Delete Rate","Steuersatz löschen"
"Delete Rule","Regel löschen"
"Display","Anzeige"
"Display Cart/Order Prices","Warnekorb-/Bestellungspreise anzeigen"
"Display Product Prices","Produktpreise anzeigen"
"Display Shipping Prices","Versandpreise anzeigen"
"Display Zero Tax Subtotal","Nullsteuer-Zwischensumme anzeigen"
"Display full tax summary","Gesamte Steuerübersicht anzeigen"
"Edit Class","Steuerklasse bearbeiten"
"Edit Class '%s'","Steuerklasse '%s' bearbeiten"
"Edit Rule","Regel bearbeiten"
"Edit Tax Rate","Steuersatz löschen"
"Error while deleting this class. Please try again later.","Fehler beim Löschen dieser Steuerklasse. Bitte versuchen Sie es später noch einmal."
"Error while deleting this rate. Incorrect rate ID","Fehler beim Löschen dieses Steuersatzes. Falsche Steuersatz-ID"
"Error while deleting this rate. Please try again later.","Fehler beim Löschen dieses Steuersatzes. Bitte versuchen Sie es später noch einmal."
"Error while deleting this tax rule. Please try again later.","Fehler beim Löschen dieser Regel. Bitte versuchen Sie es später noch einmal."
"Error while saving this rate. Please try again later.","Fehler beim Speichern dieses Steuersatzes. Bitte versuchen Sie es später noch einmal."
"Error while saving this tax class. Class with the same name ","Fehler beim Speichern dieser Steuerklasse. Der Klassenname existiert bereits"
