" was not delivered nor scanned"," wurde weder zugestellt noch eingescannt"
"1 Day Freight","1 Tag Fracht"
"2 Day Freight","2 Tage Fracht"
"2Day","2 Tage"
"2nd Day Air","2. Tag Luftfracht"
"2nd Day Air AM","2. Tag Luftfracht AM"
"2nd Day Air AM Letter","2. Tag Luftfracht AM Brief"
"2nd Day Air Letter","2. Tag Luftfracht Brief"
"3 Day Freight","3 Tage Fracht"
"3 Day Select","3 Tage Select"
"Access ID","Zugangskennung"
"Access license number","Zugangslizenznummer"
"Account ID","Kundenkontokennung"
"Account number","Kundenkontonummer"
"Additional Protection Configuration Value","Konfigurationswert für zusätzlichen Schutz"
"Additional Protection Enabled","Zusätzlicher Schutz aktiviert"
"Additional Protection Min Subtotal","Mindest-Zwischensumm für zusätzlichen Schutz"
"Additional Protection Value","Wert für zusätzlichen Schutz"
"Additional Protection Value Rounding Method","Rundungsart des Wertes für zusätzlichen Schutz"
"All Services","Alle Dienstleistungen"
"Allowed methods","Erlaubte Arten"
"Bound Printed Matter","Gebundene Drucksache"
"Business Service Center","Geschäftskunden-Servicecenter"
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Versandkosten konnten nicht abgerufen werden"
"Commercial","Kommerziell"
"Configuration","Konfiguration"
"Container","Container"
"Customer Packaging","Customer Packaging"
"DHL","DHL"
"Default Package Height","Standard Pakethöhe"
"Default Package Length","Standard Paketlänge"
"Default Package Width","Standard Paketbreite"
"Delivered","Zugestellt"
"Destination type","Typ Zustellungsort"
"Displayed Error Message","Fehlermeldung angezeigt"
"Domestic Shipment Days","Domestic Shipment Days"
"Drop Box","Briefkasten"
"Dropoff","Einwurf"
"Empty response","Leere Rückmeldung"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled","Aktiviert"
"Error #%s : %s (%s)","Fehler Nr. %s : %s (%s)"
"Error #%s: %s","Fehler Nr. %s: %s"
"Europe First Priority","Europa höchste Priorität"
"Express","Express"
"Express 10:30 AM","Express bis 10.30 Uhr"
"Express Mail","Express Mail"
"Express Saturday","Express Samstagszustellung"
"Express Saver","Express Saver"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Brief"
"FedEx Pak","FedEx Paket"
"FedEx Tube","FedEx Röhre"
"First Overnight","1. Klasse über Nacht"
"First-Class","1. Klasse"
"Flat","Festkosten"
"Flat-Rate Box","Festkosten Paket"
"Flat-Rate Envelope","Festkosten-Brief"
"Free method","Freie Art"
"Free shipping with minimum order amount","Kostenloser Versand mit Mindestbestellbetrag"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Ground","Landweg"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Bearbeitung angewendet"
"Handling fee","Bearbeitungsgebühr"
"Home Delivery","Lieferung frei Haus"
"International Economy","International Economy"
"International Express","International Express"
"International First","International 1. Klasse"
"International Priority","International Priority"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","International Economy Fracht"
"Intl Priority Freight","International Priority Fracht"
"Invalid DHL XML code for type %s: %s","Üngültiger DHL XML Code für Typ %s: %s"
"Invalid DHL XML code type: %s","Üngültiger DHL XML Codetyp : %s"
"Invalid FedEx XML code for type %s: %s","Ungültiger FedEx XML Code für Typ %s: %s"
"Invalid FedEx XML code type: %s","Ungültiger FedEx XML Codetyp: %s"
"Invalid UPS CGI code for type %s: %s","Ungültiger UPS CGI Code für Typ %s: %s"
"Invalid UPS CGI code type: %s","Ungültiger UPS CGI Codetyp : %s"
"Invalid USPS XML code for type %s: %s","Ungültiger USPS XML Code für Typ %s: %s"
"Invalid USPS XML code type: %s","Ungültiger USPS XML Codetyp : %s"
"Kilograms","Kilogramm"
"Large","Gross"
"Letter","Brief"
"Library","Sammlung"
"Machinable","Maschinenverarbeitbar"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Paket-Höchstgewicht (bitte erkundigen Sie sich bei Ihrem Transporteur nach dem möglichen Höchstgewicht)"
"Media Mail","Media Mail"
"Minimum order amount for free shipping","Mindestbestellmenge für versandkostenfreie Lieferung"
"Next Afternoon","Nächsten Nachmittag"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","Nein"
"Non-rectangular","Nicht rechteckig"
"Order","Bestellung"
"Origin of the shipment","Ursprung der Sendung"
"Oversize","Überformat"
"Package","Verpackung"
"Package Description","Paketbeschreibung"
"Packaging","Verpackung"
"Parcel","Paket"
"Parcel Post","Paketpost"
"Password","Kennwort"
"Pickup method","Abholart"
"Please enter the package weight","Bitte Paketgewicht angeben"
"Please make sure to use only digits here. No dashes are allowed.","Bitte nur Ziffern eingeben. Bindestriche sind nicht erlaubt."
"Pounds","Kilos"
"Priority Mail","Priority Sendung"
"Priority Overnight","Priority Nachtsendung"
"Receiver","Empfänger"
"Rectangular","Rechteckig"
"Regular","Standard"
"Regular Pickup","Standardabholung"
"Request Courier","Kurier anfordern"
"Residential","Heim"
"Residential Delivery","Heimzustellung"
"Response is in the wrong format","Antwort liegt im falschen Format vor"
"Round","Rund"
"Second Day Service","Zustellung am zweiten Tag"
"Sender","Absender"
"Ship to Specific countries","Versand in bestimmte Länder"
"Ship to applicable countries","Versand in mögliche Länder"
"Shipment Contains Hazardous Materials","Versand beinhaltet gefährliches Material"
"Shipment Dutiable","Versand zollpflichtig"
"Shipment Duty Payment Type","Zahlweise für Zoll"
"Shipment is not available.","Kein Versand verfügbar."
"Shipment picked up","Sendung abgeholt"
"Shipment type","Versandart"
"Shipper Number","Transporteur Nummer"
"Shipping key","Versandkennung"
"Shipping key (International)","Versandkennung (international)"
"Show method if not applicable","Versandart zeigen, auch wenn nicht möglich"
"Size","Grösse"
"Sort order","Reihenfolge"
"Standard Overnight","Standard Nachtsendung"
"Station","Station"
"Subtotal","Subtotal"
"Subtotal With Discount","Subtotal mit Rabatt"
"There is no available method for selected shipping address.","Keine Versandart für gewählte Versandadresse verfügbar."
"Third Party","Drittanbieter"
"Title","Titel"
"To lower","Kleinbuchstaben"
"To upper","Grossbuchstaben"
"Tracking XML URL","Tracking XML URL"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS type","UPS Typ"
"USPS","USPS"
"Unable to retrieve tracking","Fehler beim Abfragen des Trackings"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Unbekannter Fehler"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount."
"User ID","Benutzer ID"
"UserId","Benutzer ID"
"Variable","Variabel"
"Weight Unit","Gewichtseinheit"
"Worldwide Expedited","Weltweit Expedited"
"Worldwide Express","Weltweit Express"
"Worldwide Express Letter","Weltweit Express Brief"
"Worldwide Express Plus","Weltweit Express Plus"
"Worldwide Express Plus Letter","Weltweit Express Plus Brief"
"Worldwide Express Saver","Weltweit Express Sparsam"
"Yes","Ja"
"Your Packaging","Ihre Verpackung"
